id,city_area,city_name,state_name,country_name,zipcode,created_by
112,Dehgamda,Ahmedabad,Gujarat,India,382220,1
113,Dekawada,Ahmedabad,Gujarat,India,382120,1
114,Delhi Gate,Ahmedabad,Gujarat,India,380004,1
115,Deo Dholera,Ahmedabad,Gujarat,India,382240,1
116,Detroj,Ahmedabad,Gujarat,India,382120,1
117,Devaliya,Ahmedabad,Gujarat,India,382245,1
118,Devpura,Ahmedabad,Gujarat,India,382140,1
119,Devtimoti,Ahmedabad,Gujarat,India,382213,1
120,Dhakdi,Ahmedabad,Gujarat,India,382150,1
121,Dhamatvan,Ahmedabad,Gujarat,India,382435,1
122,Dhanala,Ahmedabad,Gujarat,India,382465,1
123,Dhandhuka,Ahmedabad,Gujarat,India,382460,1
124,Dhanwada,Ahmedabad,Gujarat,India,382220,1
125,Dharpipla,Ahmedabad,Gujarat,India,382245,1
126,Dhedasana,Ahmedabad,Gujarat,India,382130,1
127,Dhingada,Ahmedabad,Gujarat,India,382230,1
128,Dholera,Ahmedabad,Gujarat,India,382455,1
129,Dholi,Ahmedabad,Gujarat,India,382240,1
130,Dholka,Ahmedabad,Gujarat,India,382225,1
131,Digvijaynagar,Ahmedabad,Gujarat,India,382470,1
132,District Court,Ahmedabad,Gujarat,India,380001,1
133,Dodar,Ahmedabad,Gujarat,India,382170,1
134,Dudheshwar,Ahmedabad,Gujarat,India,380004,1
135,Dudheshwar Tavdipura,Ahmedabad,Gujarat,India,380004,1
136,Dumana,Ahmedabad,Gujarat,India,382150,1
137,Durgi,Ahmedabad,Gujarat,India,382230,1
138,Ellisbridge,Ahmedabad,Gujarat,India,380006,1
139,Endla,Ahmedabad,Gujarat,India,382130,1
140,Fangadi,Ahmedabad,Gujarat,India,382110,1
141,Fatehwadi,Ahmedabad,Gujarat,India,380055,1
142,Fatepur,Ahmedabad,Gujarat,India,382465,1
143,Fatewadi,Ahmedabad,Gujarat,India,382210,1
144,Fedra,Ahmedabad,Gujarat,India,382465,1
145,Frizpur,Ahmedabad,Gujarat,India,382240,1
146,Galsana,Ahmedabad,Gujarat,India,382245,1
147,Gamanpura,Ahmedabad,Gujarat,India,382120,1
148,Gamdi,Ahmedabad,Gujarat,India,382435,1
149,Gamph,Ahmedabad,Gujarat,India,382465,1
150,Gandhi Ashram,Ahmedabad,Gujarat,India,380027,1
151,Gandhi Road,Ahmedabad,Gujarat,India,380001,1
152,Gandhinagar Highway,Ahmedabad,Gujarat,India,382421,1
153,Gangad,Ahmedabad,Gujarat,India,382240,1
154,Ganol,Ahmedabad,Gujarat,India,382265,1
155,Garodia,Ahmedabad,Gujarat,India,382115,1
156,Gatrad,Ahmedabad,Gujarat,India,382449,1
157,Geratpur,Ahmedabad,Gujarat,India,382435,1
158,Ghatisana,Ahmedabad,Gujarat,India,382140,1
159,Ghatlodia,Ahmedabad,Gujarat,India,380061,1
160,Gheekanta Road,Ahmedabad,Gujarat,India,380001,1
161,Ghoda,Ahmedabad,Gujarat,India,382150,1
162,Ghodasar,Ahmedabad,Gujarat,India,380050,1
164,Ghuma,Ahmedabad,Gujarat,India,380058,1
165,Girdharnagar,Ahmedabad,Gujarat,India,380004,1
166,Girmatha,Ahmedabad,Gujarat,India,382425,1
167,Gita Mandir,Ahmedabad,Gujarat,India,380022,1
168,Gita Mandir Road,Ahmedabad,Gujarat,India,380022,1
169,Godhavata,Ahmedabad,Gujarat,India,382255,1
170,Godhavi,Ahmedabad,Gujarat,India,382115,1
171,Gogla,Ahmedabad,Gujarat,India,382463,1
172,Gomtipur,Ahmedabad,Gujarat,India,380021,1
173,Goraiya,Ahmedabad,Gujarat,India,382150,1
174,Goraj,Ahmedabad,Gujarat,India,382110,1
175,Gorasu,Ahmedabad,Gujarat,India,382463,1
176,Gota,Ahmedabad,Gujarat,India,382481,1
177,Gujarat University,Ahmedabad,Gujarat,India,380009,1
178,Gunda,Ahmedabad,Gujarat,India,382255,1
179,Gundi Sarvodaya Ashram,Ahmedabad,Gujarat,India,382230,1
180,Gunjala,Ahmedabad,Gujarat,India,382120,1
181,Gunjar,Ahmedabad,Gujarat,India,382460,1
182,Gurukul,Ahmedabad,Gujarat,India,380052,1
183,Gyaspur,Ahmedabad,Gujarat,India,382405,1
184,Hansalpur,Ahmedabad,Gujarat,India,382150,1
185,Hansol,Ahmedabad,Gujarat,India,382475,1
186,Harniav,Ahmedabad,Gujarat,India,382435,1
187,Hathijan,Ahmedabad,Gujarat,India,382445,1
188,Hebatpur,Ahmedabad,Gujarat,India,382430,1
189,Hirapur,Ahmedabad,Gujarat,India,382435,1
190,Hirapura,Ahmedabad,Gujarat,India,382150,1
191,I E Bapunagar,Ahmedabad,Gujarat,India,380024,1
192,I I M,Ahmedabad,Gujarat,India,380015,1
193,Iawa Vasna,Ahmedabad,Gujarat,India,382170,1
194,Ingoli,Ahmedabad,Gujarat,India,382265,1
195,Isanpur,Ahmedabad,Gujarat,India,382443,1
196,Isanpur Mota,Ahmedabad,Gujarat,India,382443,1
197,Jagatpur,Ahmedabad,Gujarat,India,382470,1
198,Jakhada,Ahmedabad,Gujarat,India,382230,1
199,Jakwada,Ahmedabad,Gujarat,India,382150,1
200,Jalalpur Vajifa,Ahmedabad,Gujarat,India,382225,1
201,Jalampur,Ahmedabad,Gujarat,India,382150,1
202,Jalila,Ahmedabad,Gujarat,India,382255,1
203,Jalisana,Ahmedabad,Gujarat,India,382120,1
204,Jaliya,Ahmedabad,Gujarat,India,382460,1
205,Jamalpur,Ahmedabad,Gujarat,India,380001,1
207,Jamp,Ahmedabad,Gujarat,India,382110,1
208,Jantanagar,Ahmedabad,Gujarat,India,382449,1
209,Jawahar Chowk,Ahmedabad,Gujarat,India,380008,1
210,Jawaraj,Ahmedabad,Gujarat,India,382230,1
211,Jeska,Ahmedabad,Gujarat,India,382250,1
212,Jetalpur,Ahmedabad,Gujarat,India,382426,1
213,Jholapur,Ahmedabad,Gujarat,India,382170,1
214,Jivraj Park,Ahmedabad,Gujarat,India,380051,1
215,Jodhpur,Ahmedabad,Gujarat,India,380015,1
216,Jodhpur Char Rasta,Ahmedabad,Gujarat,India,380015,1
217,Joshipura,Ahmedabad,Gujarat,India,382150,1
218,Juhapura,Ahmedabad,Gujarat,India,380055,1
219,Junapadhar,Ahmedabad,Gujarat,India,382150,1
220,Juval,Ahmedabad,Gujarat,India,382220,1
221,Juval Rupavati,Ahmedabad,Gujarat,India,382220,1
222,Kabir Chowk,Ahmedabad,Gujarat,India,380005,1
223,Kadipur,Ahmedabad,Gujarat,India,382463,1
224,Kadvasan,Ahmedabad,Gujarat,India,382130,1
225,Kalana,Ahmedabad,Gujarat,India,382170,1
226,Kali,Ahmedabad,Gujarat,India,382470,1
227,Kalupur,Ahmedabad,Gujarat,India,380001,1
228,Kalupur Chakla,Ahmedabad,Gujarat,India,380001,1
229,Kalyangadh,Ahmedabad,Gujarat,India,382240,1
230,Kamiala,Ahmedabad,Gujarat,India,382465,1
231,Kamijala,Ahmedabad,Gujarat,India,382150,1
232,Kanbha,Ahmedabad,Gujarat,India,382430,1
233,Kaneti,Ahmedabad,Gujarat,India,382110,1
234,Kaniyel,Ahmedabad,Gujarat,India,382433,1
235,Kankaria,Ahmedabad,Gujarat,India,380022,1
236,Kankravadi,Ahmedabad,Gujarat,India,382150,1
237,Kanz,Ahmedabad,Gujarat,India,382140,1
238,Karakthal,Ahmedabad,Gujarat,India,382150,1
239,Kasindra,Ahmedabad,Gujarat,India,382210,1
240,Kasindra,Ahmedabad,Gujarat,India,382465,1
241,Kathwada,Ahmedabad,Gujarat,India,382430,1
242,Kathwada Maize Product,Ahmedabad,Gujarat,India,382430,1
243,Katosan Road,Ahmedabad,Gujarat,India,382145,1
244,Kauka,Ahmedabad,Gujarat,India,382265,1
245,Kavitha,Ahmedabad,Gujarat,India,382260,1
246,Kelia Vasna,Ahmedabad,Gujarat,India,382225,1
247,Kerala,Ahmedabad,Gujarat,India,382220,1
248,Keria,Ahmedabad,Gujarat,India,382245,1
249,Kesardi,Ahmedabad,Gujarat,India,382240,1
250,Khadia,Ahmedabad,Gujarat,India,380001,1
251,Khadol,Ahmedabad,Gujarat,India,382460,1
252,Khambhada,Ahmedabad,Gujarat,India,382450,1
253,Khamidana,Ahmedabad,Gujarat,India,382450,1
254,Khandachora Dhandhuka,Ahmedabad,Gujarat,India,382460,1
255,Khanpur,Ahmedabad,Gujarat,India,380001,1
256,Kharad,Ahmedabad,Gujarat,India,382460,1
257,Kharakuva Dholka,Ahmedabad,Gujarat,India,382225,1
258,Khas,Ahmedabad,Gujarat,India,382255,1
259,Khasta,Ahmedabad,Gujarat,India,382460,1
260,Khoda,Ahmedabad,Gujarat,India,382170,1
261,Khodiyar,Ahmedabad,Gujarat,India,382421,1
262,Khodiyarnagar,Ahmedabad,Gujarat,India,382350,1
263,Khokarnesh,Ahmedabad,Gujarat,India,382245,1
264,Khokhara Mehmadabad,Ahmedabad,Gujarat,India,380008,1
265,Khorajnanoda,Ahmedabad,Gujarat,India,382170,1
266,Khudad,Ahmedabad,Gujarat,India,382150,1
267,Khun,Ahmedabad,Gujarat,India,382455,1
268,Kocharia,Ahmedabad,Gujarat,India,382220,1
269,Kointia,Ahmedabad,Gujarat,India,382140,1
270,Kokta,Ahmedabad,Gujarat,India,382150,1
271,Kolat,Ahmedabad,Gujarat,India,382210,1
272,Kotda,Ahmedabad,Gujarat,India,382445,1
273,Koth,Ahmedabad,Gujarat,India,382240,1
274,Kothadia,Ahmedabad,Gujarat,India,382460,1
275,Krishnanagar,Ahmedabad,Gujarat,India,382345,1
276,Kubadthal,Ahmedabad,Gujarat,India,382430,1
277,Kubernagar,Ahmedabad,Gujarat,India,382340,1
278,Kubernagar B A,Ahmedabad,Gujarat,India,382340,1
279,Kuha,Ahmedabad,Gujarat,India,382433,1
280,Kujad,Ahmedabad,Gujarat,India,382430,1
281,Kukvav,Ahmedabad,Gujarat,India,382120,1
282,Kumarkhan,Ahmedabad,Gujarat,India,382150,1
