category_name,category_image_url
High Salary,High salary potential.png
Job Security,Job securiy and stability.png
Creativity,creativity and innovation.png
Work-Life Balance,work life balance.png
Social Impact,making an impact on society.png
Growth Opportunities,opportunities to grow and learn.png
