category_name,category_image_url
Technology / Coding,Technology.png
Healthcare / Life Sciences,Healthcare.png
Business / Finance,Business.png
Creative / Design,Creative.png
Science / Research,Science.png
Agriculture / Environment,Agriculture.png
Sports / Fitness,Sports.png
Government / Public Service,Government.png
 
