id,city_area,city_name,state_name,country_name,zipcode,created_by
108,Dehgamda,Ahmedabad,Gujarat,India,382220,1
109,Dekawada,Ahmedabad,Gujarat,India,382120,1
110,Delhi Gate,Ahmedabad,Gujarat,India,380004,1
111,Deo Dholera,Ahmedabad,Gujarat,India,382240,1
112,Detroj,Ahmedabad,Gujarat,India,382120,1
113,Devaliya,Ahmedabad,Gujarat,India,382245,1
114,Devpura,Ahmedabad,Gujarat,India,382140,1
115,Devtimoti,Ahmedabad,Gujarat,India,382213,1
116,Dhakdi,Ahmedabad,Gujarat,India,382150,1
117,Dhamatvan,Ahmedabad,Gujarat,India,382435,1
118,Dhanala,Ahmedabad,Gujarat,India,382465,1
119,Dhandhuka,Ahmedabad,Gujarat,India,382460,1
120,Dhanwada,Ahmedabad,Gujarat,India,382220,1
121,Dharpipla,Ahmedabad,Gujarat,India,382245,1
122,Dhedasana,Ahmedabad,Gujarat,India,382130,1
123,Dhingada,Ahmedabad,Gujarat,India,382230,1
124,Dholera,Ahmedabad,Gujarat,India,382455,1
125,Dholi,Ahmedabad,Gujarat,India,382240,1
126,Dholka,Ahmedabad,Gujarat,India,382225,1
127,Digvijaynagar,Ahmedabad,Gujarat,India,382470,1
128,District Court,Ahmedabad,Gujarat,India,380001,1
129,Dodar,Ahmedabad,Gujarat,India,382170,1
130,Dudheshwar,Ahmedabad,Gujarat,India,380004,1
131,Dudheshwar Tavdipura,Ahmedabad,Gujarat,India,380004,1
132,Dumana,Ahmedabad,Gujarat,India,382150,1
133,Durgi,Ahmedabad,Gujarat,India,382230,1
134,Ellisbridge,Ahmedabad,Gujarat,India,380006,1
135,Endla,Ahmedabad,Gujarat,India,382130,1
136,Fangadi,Ahmedabad,Gujarat,India,382110,1
137,Fatehwadi,Ahmedabad,Gujarat,India,380055,1
138,Fatepur,Ahmedabad,Gujarat,India,382465,1
139,Fatewadi,Ahmedabad,Gujarat,India,382210,1
140,Fedra,Ahmedabad,Gujarat,India,382465,1
141,Frizpur,Ahmedabad,Gujarat,India,382240,1
142,Galsana,Ahmedabad,Gujarat,India,382245,1
143,Gamanpura,Ahmedabad,Gujarat,India,382120,1
144,Gamdi,Ahmedabad,Gujarat,India,382435,1
145,Gamph,Ahmedabad,Gujarat,India,382465,1
146,Gandhi Ashram,Ahmedabad,Gujarat,India,380027,1
147,Gandhi Road,Ahmedabad,Gujarat,India,380001,1
148,Gandhinagar Highway,Ahmedabad,Gujarat,India,382421,1
149,Gangad,Ahmedabad,Gujarat,India,382240,1
150,Ganol,Ahmedabad,Gujarat,India,382265,1
151,Garodia,Ahmedabad,Gujarat,India,382115,1
152,Gatrad,Ahmedabad,Gujarat,India,382449,1
153,Geratpur,Ahmedabad,Gujarat,India,382435,1
154,Ghatisana,Ahmedabad,Gujarat,India,382140,1
155,Ghatlodia,Ahmedabad,Gujarat,India,380061,1
156,Gheekanta Road,Ahmedabad,Gujarat,India,380001,1
157,Ghoda,Ahmedabad,Gujarat,India,382150,1
158,Ghodasar,Ahmedabad,Gujarat,India,380050,1
159,Ghuma,Ahmedabad,Gujarat,India,380058,1
160,Girdharnagar,Ahmedabad,Gujarat,India,380004,1
161,Girmatha,Ahmedabad,Gujarat,India,382425,1
162,Gita Mandir,Ahmedabad,Gujarat,India,380022,1
163,Gita Mandir Road,Ahmedabad,Gujarat,India,380022,1
164,Godhavata,Ahmedabad,Gujarat,India,382255,1
165,Godhavi,Ahmedabad,Gujarat,India,382115,1
166,Gogla,Ahmedabad,Gujarat,India,382463,1
167,Gomtipur,Ahmedabad,Gujarat,India,380021,1
168,Goraiya,Ahmedabad,Gujarat,India,382150,1
169,Goraj,Ahmedabad,Gujarat,India,382110,1
170,Gorasu,Ahmedabad,Gujarat,India,382463,1
171,Gota,Ahmedabad,Gujarat,India,382481,1
172,Gujarat University,Ahmedabad,Gujarat,India,380009,1
173,Gunda,Ahmedabad,Gujarat,India,382255,1
174,Gundi Sarvodaya Ashram,Ahmedabad,Gujarat,India,382230,1
175,Gunjala,Ahmedabad,Gujarat,India,382120,1
176,Gunjar,Ahmedabad,Gujarat,India,382460,1
177,Gurukul,Ahmedabad,Gujarat,India,380052,1
178,Gyaspur,Ahmedabad,Gujarat,India,382405,1
179,Hansalpur,Ahmedabad,Gujarat,India,382150,1
180,Hansol,Ahmedabad,Gujarat,India,382475,1
181,Harniav,Ahmedabad,Gujarat,India,382435,1
182,Hathijan,Ahmedabad,Gujarat,India,382445,1
183,Hebatpur,Ahmedabad,Gujarat,India,382430,1
184,Hirapur,Ahmedabad,Gujarat,India,382435,1
185,Hirapura,Ahmedabad,Gujarat,India,382150,1
186,I E Bapunagar,Ahmedabad,Gujarat,India,380024,1
187,I I M,Ahmedabad,Gujarat,India,380015,1
188,Iawa Vasna,Ahmedabad,Gujarat,India,382170,1
189,Ingoli,Ahmedabad,Gujarat,India,382265,1
190,Isanpur,Ahmedabad,Gujarat,India,382443,1
191,Isanpur Mota,Ahmedabad,Gujarat,India,382443,1
192,Jagatpur,Ahmedabad,Gujarat,India,382470,1
193,Jakhada,Ahmedabad,Gujarat,India,382230,1
194,Jakwada,Ahmedabad,Gujarat,India,382150,1
195,Jalalpur Vajifa,Ahmedabad,Gujarat,India,382225,1
196,Jalampur,Ahmedabad,Gujarat,India,382150,1
197,Jalila,Ahmedabad,Gujarat,India,382255,1
198,Jalisana,Ahmedabad,Gujarat,India,382120,1
199,Jaliya,Ahmedabad,Gujarat,India,382460,1
200,Jamalpur,Ahmedabad,Gujarat,India,380001,1
201,Jamp,Ahmedabad,Gujarat,India,382110,1
202,Jantanagar,Ahmedabad,Gujarat,India,382449,1
203,Jawahar Chowk,Ahmedabad,Gujarat,India,380008,1
204,Jawaraj,Ahmedabad,Gujarat,India,382230,1
205,Jeska,Ahmedabad,Gujarat,India,382250,1
206,Jetalpur,Ahmedabad,Gujarat,India,382426,1
207,Jholapur,Ahmedabad,Gujarat,India,382170,1
208,Jivraj Park,Ahmedabad,Gujarat,India,380051,1
209,Jodhpur,Ahmedabad,Gujarat,India,380015,1
210,Jodhpur Char Rasta,Ahmedabad,Gujarat,India,380015,1
211,Joshipura,Ahmedabad,Gujarat,India,382150,1
212,Juhapura,Ahmedabad,Gujarat,India,380055,1
213,Junapadhar,Ahmedabad,Gujarat,India,382150,1
214,Juval,Ahmedabad,Gujarat,India,382220,1
215,Juval Rupavati,Ahmedabad,Gujarat,India,382220,1
216,Kabir Chowk,Ahmedabad,Gujarat,India,380005,1
217,Kadipur,Ahmedabad,Gujarat,India,382463,1
218,Kadvasan,Ahmedabad,Gujarat,India,382130,1
219,Kalana,Ahmedabad,Gujarat,India,382170,1
220,Kali,Ahmedabad,Gujarat,India,382470,1
221,Kalupur,Ahmedabad,Gujarat,India,380001,1
222,Kalupur Chakla,Ahmedabad,Gujarat,India,380001,1
223,Kalyangadh,Ahmedabad,Gujarat,India,382240,1
224,Kamiala,Ahmedabad,Gujarat,India,382465,1
225,Kamijala,Ahmedabad,Gujarat,India,382150,1
226,Kanbha,Ahmedabad,Gujarat,India,382430,1
227,Kaneti,Ahmedabad,Gujarat,India,382110,1
228,Kaniyel,Ahmedabad,Gujarat,India,382433,1
229,Kankaria,Ahmedabad,Gujarat,India,380022,1
230,Kankravadi,Ahmedabad,Gujarat,India,382150,1
231,Kanz,Ahmedabad,Gujarat,India,382140,1
232,Karakthal,Ahmedabad,Gujarat,India,382150,1
233,Kasindra,Ahmedabad,Gujarat,India,382210,1
234,Kasindra,Ahmedabad,Gujarat,India,382465,1
235,Kathwada,Ahmedabad,Gujarat,India,382430,1
236,Kathwada Maize Product,Ahmedabad,Gujarat,India,382430,1
237,Katosan Road,Ahmedabad,Gujarat,India,382145,1
238,Kauka,Ahmedabad,Gujarat,India,382265,1
239,Kavitha,Ahmedabad,Gujarat,India,382260,1
240,Kelia Vasna,Ahmedabad,Gujarat,India,382225,1
241,Kerala,Ahmedabad,Gujarat,India,382220,1
242,Keria,Ahmedabad,Gujarat,India,382245,1
243,Kesardi,Ahmedabad,Gujarat,India,382240,1
244,Khadia,Ahmedabad,Gujarat,India,380001,1
245,Khadol,Ahmedabad,Gujarat,India,382460,1
246,Khambhada,Ahmedabad,Gujarat,India,382450,1
247,Khamidana,Ahmedabad,Gujarat,India,382450,1
248,Khandachora Dhandhuka,Ahmedabad,Gujarat,India,382460,1
249,Khanpur,Ahmedabad,Gujarat,India,380001,1
250,Kharad,Ahmedabad,Gujarat,India,382460,1
251,Kharakuva Dholka,Ahmedabad,Gujarat,India,382225,1
252,Khas,Ahmedabad,Gujarat,India,382255,1
253,Khasta,Ahmedabad,Gujarat,India,382460,1
254,Khoda,Ahmedabad,Gujarat,India,382170,1
255,Khodiyar,Ahmedabad,Gujarat,India,382421,1
256,Khodiyarnagar,Ahmedabad,Gujarat,India,382350,1
257,Khokarnesh,Ahmedabad,Gujarat,India,382245,1
258,Khokhara Mehmadabad,Ahmedabad,Gujarat,India,380008,1
259,Khorajnanoda,Ahmedabad,Gujarat,India,382170,1
260,Khudad,Ahmedabad,Gujarat,India,382150,1
261,Khun,Ahmedabad,Gujarat,India,382455,1
262,Kocharia,Ahmedabad,Gujarat,India,382220,1
263,Kointia,Ahmedabad,Gujarat,India,382140,1
264,Kokta,Ahmedabad,Gujarat,India,382150,1
265,Kolat,Ahmedabad,Gujarat,India,382210,1
266,Kotda,Ahmedabad,Gujarat,India,382445,1
267,Koth,Ahmedabad,Gujarat,India,382240,1
268,Kothadia,Ahmedabad,Gujarat,India,382460,1
269,Krishnanagar,Ahmedabad,Gujarat,India,382345,1
270,Kubadthal,Ahmedabad,Gujarat,India,382430,1
271,Kubernagar,Ahmedabad,Gujarat,India,382340,1
272,Kubernagar B A,Ahmedabad,Gujarat,India,382340,1
273,Kuha,Ahmedabad,Gujarat,India,382433,1
274,Kujad,Ahmedabad,Gujarat,India,382430,1
275,Kukvav,Ahmedabad,Gujarat,India,382120,1
276,Kumarkhan,Ahmedabad,Gujarat,India,382150,1
277,Kundal,Ahmedabad,Gujarat,India,382450,1
278,Kundal,Ahmedabad,Gujarat,India,382110,1
279,Kundli,Ahmedabad,Gujarat,India,382245,1
280,Kunpur,Ahmedabad,Gujarat,India,382130,1
281,Kunvar,Ahmedabad,Gujarat,India,382110,1
282,L G Hospital,Ahmedabad,Gujarat,India,380008,1
283,Lal Darwaja,Ahmedabad,Gujarat,India,380001,1
284,Lambha,Ahmedabad,Gujarat,India,382405,1
285,Lapkaman,Ahmedabad,Gujarat,India,382210,1
286,Limbadia,Ahmedabad,Gujarat,India,382330,1
287,Loliya,Ahmedabad,Gujarat,India,382465,1
288,Lothal,Ahmedabad,Gujarat,India,382230,1
289,Lothal Bhurkhi RS,Ahmedabad,Gujarat,India,382230,1
290,M D Marg,Ahmedabad,Gujarat,India,380022,1
291,Madhupura Market,Ahmedabad,Gujarat,India,380004,1
292,Madrisana,Ahmedabad,Gujarat,India,382145,1
293,Mahijada,Ahmedabad,Gujarat,India,382425,1
294,Makarba,Ahmedabad,Gujarat,India,380051,1
295,Makhiav,Ahmedabad,Gujarat,India,382110,1
296,Mandal,Ahmedabad,Gujarat,India,382130,1
297,Mandvi,Ahmedabad,Gujarat,India,382430,1
298,Manek Chowk,Ahmedabad,Gujarat,India,380001,1
299,Manekbag,Ahmedabad,Gujarat,India,380015,1
300,Maninagar,Ahmedabad,Gujarat,India,380008,1
301,Manipur,Ahmedabad,Gujarat,India,382150,1
302,Mankol,Ahmedabad,Gujarat,India,382110,1
