zone_id,pincode_number
5,360001
5,360002
5,360003
5,360004
5,360005
5,360006
5,360007
5,360020
5,360021
5,360024
5,360030
5,360035
5,360040
5,360050
5,360055
5,360060
5,360070
5,360080
5,360110
5,360311
5,360320
5,360330
5,360360
5,360370
5,360375
5,360380
5,360405
5,360410
5,360421
5,360430
5,360440
5,360450
5,360452
5,360460
5,360470
5,360480
5,360490
5,360510
5,360530
5,360545
5,360550
5,360560
5,360570
5,360575
5,360576
5,360577
5,360578
5,360579
5,360590
5,362220
5,362230
5,362245
5,362610
5,362620
5,362650
5,362730
5,363001
5,363002
5,363020
5,363030
5,363035
5,363040
5,363110
5,363115
5,363310
5,363320
5,363330
5,363351
5,363410
5,363415
5,363421
5,363423
5,363425
5,363427
5,363430
5,363435
5,363440
5,363510
5,363520
5,363530
5,363610
5,363621
5,363630
5,363636
5,363641
5,363642
5,363650
5,363660
5,363670
5,364001
5,364002
5,364003
5,364004
5,364005
5,364006
5,364050
5,364060
5,364070
5,364130
5,364260
5,364465
5,364470
5,364485
5,364490
5,364515
5,364521
5,364522
5,364525
5,364530
5,364710
5,364720
5,364730
5,364760
5,365220
5,365410
5,365421
5,365430
5,365440
5,365450
5,365455
5,365456
5,365460
5,365480
5,365535
5,365540
5,365541
5,365545
5,365550
5,365560
5,365565
5,365601
5,365610
5,365616
5,365620
5,365630
5,365632
5,365635
5,365640
5,365645
5,365650
5,365660
5,365665
5,380001
5,380002
5,380004
5,380005
5,380006
5,380007
5,380008
5,380009
5,380013
5,380014
5,380015
5,380016
5,380018
5,380019
5,380021
5,380022
5,380023
5,380024
5,380026
5,380027
5,380028
5,380050
5,380051
5,380052
5,380054
5,380055
5,380058
5,380059
5,380060
5,380061
5,382110
5,382115
5,382120
5,382130
5,382140
5,382145
5,382150
5,382170
5,382210
5,382213
5,382220
5,382230
5,382240
5,382250
5,382255
5,382260
5,382265
5,382276
5,382330
5,382340
5,382345
5,382350
5,382405
5,382415
5,382418
5,382421
5,382425
5,382426
5,382427
5,382430
5,382433
5,382435
5,382440
5,382443
5,382445
5,382449
5,382450
5,382451
5,382455
5,382460
5,382463
5,382465
5,382470
5,382475
5,382480
5,382481
5,382745
5,382750
5,382755
5,382760
5,382765
5,382775
5,382780
5,383001
5,383006
5,383010
5,383030
5,383110
5,383120
5,383205
5,383210
5,383215
5,383220
5,383225
5,383230
5,383235
5,383240
5,383245
5,383246
5,383250
5,383251
5,383255
5,383260
5,383270
5,383275
5,383276
5,383305
5,383307
5,383310
5,383315
5,383316
5,383317
5,383320
5,383325
5,383327
5,383330
5,383335
5,383340
5,383345
5,383350
5,383355
5,383410
5,383421
5,383422
5,383430
5,383434
5,383440
5,383450
5,383460
5,383462
5,384151
5,384240
5,384241
5,384245
5,384246
5,384265
5,384290
5,385001
5,385010
5,385110
5,385120
5,385130
5,385135
5,385210
5,385310
5,385320
5,385330
5,385340
5,385350
5,385360
5,385410
5,385421
5,385505
5,385506
5,385510
5,385515
5,385519
5,385520
5,385530
5,385535
5,385545
5,385550
5,385555
5,385560
5,385565
5,385566
5,385570
5,385575
5,387210
5,387220
5,387240
5,387315
5,387345
5,387810
5,388001
5,388110
5,388120
5,388121
5,388130
5,388140
5,388150
5,388160
5,388170
5,388180
5,388205
5,388210
5,388215
5,388220
5,388275
5,388305
5,388306
5,388307
5,388310
5,388315
5,388320
5,388325
5,388330
5,388335
5,388340
5,388345
5,388350
5,388355
5,388360
5,388365
5,388370
5,388430
5,388440
5,388450
5,388460
5,388465
5,388470
5,388480
5,388510
5,388520
5,388530
5,388540
5,388543
5,388545
5,388550
5,388560
5,388570
5,388580
5,388590
5,388620
5,388625
5,388630
5,388640
5,388710
5,390001
5,390002
5,390003
5,390004
5,390006
5,390007
5,390008
5,390009
5,390010
5,390011
5,390012
5,390013
5,390014
5,390016
5,390017
5,390018
5,390019
5,390020
5,390021
5,390022
5,390023
5,391101
5,391105
5,391107
5,391110
5,391111
5,391115
5,391125
5,391130
5,391135
5,391140
5,391145
5,391150
5,391151
5,391152
5,391155
5,391160
5,391165
5,391168
5,391170
5,391175
5,391210
5,391220
5,391240
5,391243
5,391244
5,391250
5,391310
5,391320
5,391330
5,391340
5,391345
5,391346
5,391350
5,391410
5,391421
5,391430
5,391440
5,391445
5,391450
5,391460
5,391510
5,391520
5,391530
5,391535
5,391740
5,391745
5,391750
5,391760
5,391761
5,391770
5,391774
5,391775
5,391780
5,391810
5,392001
5,392011
5,392012
5,392015
5,392020
5,392021
5,392030
5,392031
5,392035
5,392040
5,392110
5,392140
5,392150
5,392155
5,392160
5,392161
5,392162
5,392165
5,392170
5,392180
5,392210
5,392215
5,392220
5,392230
5,392240
5,392310
5,393001
5,393002
5,393010
5,393017
5,393020
5,393030
5,393040
5,393041
5,393050
5,393105
5,393110
5,393115
5,393120
5,393125
5,393130
5,393135
5,393155
5,394101
5,394105
5,394107
5,394110
5,394111
5,394115
5,394116
5,394120
5,394125
5,394130
5,394140
5,394150
5,394155
5,394160
5,394163
5,394170
5,394180
5,394185
5,394190
5,394210
5,394220
5,394221
5,394230
5,394235
5,394240
5,394245
5,394246
5,394248
5,394250
5,394270
5,394305
5,394310
5,394315
5,394317
5,394320
5,394325
5,394326
5,394327
5,394330
5,394335
5,394340
5,394350
5,394352
5,394355
5,394360
5,394365
5,394370
5,394375
5,394380
5,394405
5,394410
5,394421
5,394430
5,394440
5,394445
5,394510
5,394515
5,394516
5,394518
5,394520
5,394530
5,394540
5,394601
5,394630
5,394633
5,394635
5,394640
5,394641
5,394650
5,394651
5,394655
5,394660
5,394670
5,394680
5,394690
5,394710
5,394715
5,394716
5,394720
5,394810
5,395001
5,395002
5,395003
5,395004
5,395005
5,395006
5,395007
5,395008
5,395009
5,395010
5,395017
5,395023
5,395345
5,395620
5,396001
5,396002
5,396007
5,396020
5,396030
5,396035
5,396045
5,396050
5,396051
5,396055
5,396065
5,396105
5,396115
5,396120
5,396125
5,396126
5,396130
5,396135
5,396140
5,396145
5,396150
5,396155
5,396165
5,396170
5,396171
5,396175
5,396180
5,396185
5,396191
5,396193
5,396195
5,396235
5,396240
5,396375
5,396385
5,396510
