zone_id,pincode_number
3,133201
3,133001
3,133205
3,133202
3,134003
3,135001
3,133005
3,133004
3,134118
3,134205
3,133101
3,133021
3,133102
3,134201
3,133203
3,133006
3,133104
3,133302
3,134012
3,134203
3,134011
3,134202
3,133301
3,134007
3,134204
3,127307
3,127308
3,127025
3,127032
3,127035
3,127031
3,127111
3,127021
3,127041
3,127030
3,127043
3,127020
3,127029
3,127027
3,127040
3,127309
3,127114
3,127310
3,127026
3,127306
3,127042
3,127110
3,127022
3,127201
3,127045
3,127028
3,127046
3,121101
3,121004
3,121006
3,121003
3,121002
3,121007
3,121001
3,121011
3,121005
3,121010
3,121008
3,121009
3,121103
3,121106
3,121105
3,121107
3,121102
3,125050
3,125048
3,125111
3,125053
3,125052
3,125113
3,125051
3,125106
3,125120
3,125133
3,122104
3,122107
3,121104
3,122105
3,122006
3,123003
3,122108
3,123505
3,122103
3,123413
3,122017
3,122002
3,123502
3,122102
3,122016
3,122106
3,122101
3,122003
3,123414
3,123504
3,122051
3,122004
3,123506
3,122015
3,122011
3,122001
3,122018
3,122008
3,122010
3,122009
3,123411
3,124501
3,124514
3,124142
3,124022
3,124412
3,124111
3,124513
3,124411
3,124406
3,124021
3,124001
3,124416
3,124524
3,124303
3,124113
3,125101
3,125078
3,125104
3,125102
3,125201
3,125077
3,125076
3,125055
3,125054
3,125075
3,125060
3,125103
3,125110
3,125058
3,131101
3,131301
3,131103
3,131409
3,131027
3,131023
3,131001
3,131403
3,131102
3,131304
3,131021
3,131402
3,131039
3,131002
3,131302
3,131310
3,131024
3,131306
3,131408
3,131303
3,131028
3,131029
3,131040
3,135133
3,135101
3,133206
3,135021
3,135103
3,135003
3,135102
3,133103
3,133204
3,135106
3,133105
3,135105
