zone_id,pincode_number
5,414005
5,414001
5,414002
5,414006
5,414201
5,414111
5,414601
5,414110
5,414003
5,422601
5,422610
5,422604
5,413201
5,413205
5,413204
5,414402
5,414401
5,414403
5,423604
5,423607
5,423602
5,423601
5,423605
5,413708
5,423603
5,414609
5,414605
5,414604
5,414603
5,414105
5,414606
5,414607
5,414602
5,414305
5,414301
5,414307
5,414103
5,414302
5,414304
5,414303
5,414306
5,414106
5,414102
5,414505
5,414113
5,414501
5,413737
5,413723
5,413710
5,413736
5,413713
5,413712
5,413707
5,423107
5,413719
5,423109
5,413716
5,413704
5,413706
5,413722
5,413705
5,413714
5,413738
5,422602
5,422603
5,422611
5,422622
5,422605
5,422608
5,422620
5,414502
5,414504
5,414503
5,413701
5,414701
5,413702
5,413703
5,413728
5,414101
5,413726
5,413717
5,413709
5,413715
5,413718
5,413721
5,413711
5,413725
5,413720
5,413739
5,444002
5,444001
5,444101
5,444003
5,444501
5,444104
5,444302
5,444117
5,444401
5,444506
5,444407
5,444102
5,444125
5,444111
5,444004
5,444405
5,444005
5,444006
5,444806
5,444717
5,444808
5,444601
5,444606
5,444605
5,444901
5,444604
5,444607
5,444921
5,444603
5,444801
5,444915
5,444705
5,444728
5,444804
5,444819
5,444815
5,444827
5,444718
5,444720
5,444704
5,444809
5,444723
5,444810
5,444904
5,444909
5,444807
5,444814
5,444803
5,444713
5,444811
5,444802
5,444818
5,444706
5,444709
5,442302
5,444711
5,444710
5,444702
5,444813
5,444914
5,444905
5,444707
5,444726
5,444708
5,444805
5,444902
5,444903
5,444812
5,444908
5,444913
5,444911
5,444907
5,444906
5,431007
5,431008
5,431002
5,431001
5,431005
5,431134
5,431004
5,431006
5,431003
5,431009
5,431136
5,431202
5,431114
5,431110
5,431133
5,423702
5,431109
5,431115
5,431104
5,431103
5,431147
5,431102
5,431111
5,431101
5,431121
5,431137
5,431105
5,431107
5,431148
5,431106
5,431151
5,431118
5,431117
5,431112
5,431113
5,431120
5,431135
5,431132
5,431150
5,423701
5,423703
5,431116
5,431517
5,431523
5,431518
5,431519
5,414202
5,414203
5,414208
5,431122
5,431126
5,414205
5,431125
5,431127
5,431130
5,431129
5,431124
5,431123
5,431131
5,431128
5,431142
5,431520
5,431530
5,431515
5,413207
5,414204
5,413229
5,413249
5,441904
5,441906
5,441905
5,441924
5,441805
5,441803
5,441811
5,441804
5,441809
5,441914
5,441909
5,441917
5,441903
5,441908
5,441910
5,441802
5,441808
5,441907
5,441915
5,441920
5,441912
5,441913
5,441918
5,443001
5,443106
5,443105
5,444301
5,443201
5,444307
5,443206
5,443204
5,443402
5,443406
5,443403
5,443405
5,444306
5,444303
5,444312
5,443302
5,443301
5,443202
5,443209
5,443307
5,443102
5,443101
5,443112
5,443401
5,443305
5,443303
5,443306
5,443304
5,443103
5,443104
5,443404
5,444202
5,444201
5,444204
5,444203
5,444304
5,443203
5,443308
5,442908
5,441224
5,442404
5,442605
5,441222
5,441205
5,442701
5,442901
5,442507
5,442902
5,442503
5,442710
5,441206
5,442603
5,442403
5,442502
5,442402
5,442501
5,442505
5,442406
5,442401
5,442904
5,442903
5,441207
5,442606
5,442702
5,441228
5,442917
5,442916
5,441212
5,441225
5,441221
5,442506
5,442905
5,442706
5,441215
5,441227
5,441223
5,442914
5,442907
5,442910
5,442912
5,424004
5,424301
5,424318
5,424006
5,424002
5,424303
5,424307
5,424308
5,424311
5,424302
5,424001
5,424005
5,424309
5,424305
5,424304
5,424306
5,424310
5,425413
5,425404
5,425406
5,425408
5,425403
5,425405
5,425427
5,425421
5,425428
5,442705
5,442703
5,442709
5,441217
5,441208
5,442707
5,442604
5,442704
5,441209
5,441902
5,441701
5,441702
5,441901
5,441614
5,441601
5,441801
5,441807
5,441806
5,441916
5,441911
5,441923
5,441919
5,431705
5,431509
5,431702
5,431512
5,431513
5,431701
5,431703
5,431542
5,425420
5,425401
5,425402
5,425336
5,424105
5,424106
5,424103
5,425201
5,425203
5,425307
5,425311
5,425308
5,425305
5,425310
5,424101
5,424116
5,424108
5,424102
5,424107
5,424104
5,425303
5,425108
5,425434
5,425107
5,425124
5,425105
5,425103
5,425104
5,425106
5,425121
5,425110
5,425109
5,425002
5,425101
5,425003
5,425102
5,425116
5,425001
5,425120
5,425135
5,425309
5,424209
5,424206
5,425114
5,424205
5,424204
5,424207
5,425127
5,425306
5,424201
5,425115
5,424203
5,424202
5,425111
5,425113
5,425112
5,425509
5,425505
5,425507
5,425504
5,425508
5,425502
5,425501
5,425523
5,425510
5,425304
5,425503
5,425318
5,425524
5,425511
5,425519
5,425302
5,425326
5,425301
5,431204
5,431205
5,431212
5,431213
5,431207
5,431211
5,431209
5,431208
5,431206
5,431203
5,431504
5,431501
5,431503
5,431507
5,431502
5,416505
5,416220
5,416210
5,416209
5,416223
5,416509
5,416532
5,416504
5,416507
5,416501
5,416508
5,416551
5,416527
5,416526
5,416502
5,416506
5,415503
5,416536
5,416206
5,416110
5,416109
5,416143
5,416129
5,416115
5,416122
5,416202
5,416203
5,416118
5,416112
5,416101
5,416102
5,416113
5,416111
5,416121
5,416146
5,416116
5,416117
5,416235
5,416208
5,416218
5,416232
5,416222
5,416207
5,416216
5,416229
5,416217
5,416234
5,416211
5,416221
5,416204
5,416001
5,416012
5,416010
5,416002
5,416119
5,416013
5,416005
5,416007
5,416006
5,416003
5,416008
5,416004
5,416201
5,416205
5,416230
5,416114
5,415803
5,416701
5,415643
5,416712
5,415802
5,415203
5,415208
5,415202
5,415214
5,416707
5,416704
5,415806
5,416702
5,416713
5,415805
5,416705
5,416709
5,415616
5,415637
5,415629
5,415612
5,415639
5,415620
5,415619
5,415626
5,415615
5,415614
5,415613
5,415630
5,415617
5,415608
5,415804
5,415610
5,415801
5,415807
5,415609
5,415611
5,415607
5,415641
5,415301
5,415315
5,415306
5,415308
5,416412
5,416402
5,416404
5,416413
5,416403
5,416405
5,416411
5,415305
5,415303
5,415304
5,415311
5,415307
5,416419
5,416410
5,416418
5,415310
5,415309
5,416312
5,416416
5,416401
5,416436
5,416421
5,416428
5,416422
5,416429
5,416304
5,416305
5,416407
5,416315
5,416306
5,416408
5,416417
5,416426
5,416425
5,416406
5,416317
5,416409
5,416423
5,416321
5,416420
5,416301
5,416414
5,416415
5,416308
5,416310
5,416316
5,416303
5,416309
5,415405
5,415408
5,415410
5,415402
5,415412
5,415416
5,415418
5,415407
5,415415
5,416311
5,416320
5,416314
5,416307
5,416319
5,415401
5,416302
5,415302
5,415413
5,415403
5,415404
5,415417
5,415406
5,415414
5,415313
5,415409
5,416313
5,415411
5,415715
5,412806
5,415012
5,415020
5,415002
5,415514
5,415022
5,412805
5,415513
5,415521
5,415023
5,412802
5,415539
5,415206
5,415106
5,415114
5,415124
5,415109
5,415120
5,415122
5,415104
5,415103
5,415111
5,415105
5,415110
5,415108
5,415115
5,415014
5,415209
5,415118
5,412206
5,412801
5,415526
5,415506
5,415527
5,415510
5,415507
5,415505
5,415538
5,415504
5,415512
5,415312
5,415502
5,415102
5,415011
5,415021
5,415511
5,415525
5,415116
5,415010
5,415501
5,415524
5,415107
5,415508
5,415509
5,415540
5,415205
5,415112
5,415207
5,415520
5,415211
5,415212
5,415210
5,415522
5,415523
5,415528
5,415537
5,415013
5,415019
5,415518
5,415519
5,415004
5,415015
5,415003
5,415001
5,412803
5,412804
5,415515
5,415536
5,415530
5,415516
5,415529
5,415517
5,416611
5,416610
5,416613
5,416601
5,416811
5,416612
5,416630
5,416806
5,416615
5,416623
5,416803
5,416805
5,416804
5,416801
5,416807
5,416512
5,416530
5,416549
5,416616
5,416703
5,416602
5,416609
5,416620
5,416628
5,416812
5,416520
5,416521
5,416632
5,416603
5,416524
5,416525
5,416519
5,416528
5,416522
5,416550
5,416614
5,416605
5,416608
5,416604
5,416606
5,416534
5,416626
5,416622
5,416538
5,416510
5,416513
5,416514
5,416511
5,416531
5,416541
5,416810
5,416516
5,416518
5,416523
5,416529
5,416517
5,416515
5,413212
5,413305
5,413304
5,413216
5,413219
5,413220
5,413218
5,413226
5,413227
5,413235
5,413217
5,413409
5,413401
5,413403
5,413406
5,413404
5,413412
5,413402
5,413411
5,413203
5,413202
5,413223
5,413251
5,413206
5,413211
5,413208
5,413209
5,413301
5,413252
5,413210
5,413410
5,413250
5,413113
5,413101
5,413111
5,413112
5,413310
5,413109
5,413107
5,413108
5,413118
5,413319
5,413322
5,413309
5,413213
5,413214
5,413253
5,413303
5,413248
5,413324
5,413245
5,413233
5,413222
5,413002
5,413005
5,413001
5,413004
5,413003
5,413006
5,413255
5,413007
5,413302
5,413315
5,413317
5,413228
5,413306
5,413308
5,413307
5,413314
5,413215
5,413221
5,413224
5,413225
5,400614
5,400710
5,400706
5,400705
5,400703
5,400709
5,401202
5,401201
5,421301
5,421308
5,421302
5,401206
5,421311
5,421101
5,401204
5,421305
5,401701
5,401503
5,401602
5,401601
5,401608
5,401610
5,401702
5,401607
5,401703
5,401609
5,401603
5,421506
5,421501
5,421102
5,421504
5,421002
5,421603
5,421203
5,421201
5,421306
5,421605
5,421204
5,421103
5,421202
5,401604
5,421401
5,401501
5,401401
5,401402
5,401403
5,401404
5,401405
5,401504
5,401502
5,401506
5,401102
5,401103
5,400701
5,421601
5,421402
5,421403
5,421602
5,421604
5,401606
5,400708
5,400610
5,400608
5,401105
5,401101
5,400607
5,400612
5,400602
5,400606
5,400605
5,400601
5,400603
5,401107
5,401104
5,401106
5,400604
5,421001
5,421503
5,421505
5,421502
5,421004
5,421005
5,401301
5,401302
5,401209
5,401304
5,401207
5,401203
5,401208
5,401305
5,401303
5,401605
5,421312
5,421303
5,442201
5,442106
5,442202
5,442204
5,442101
5,442306
5,442303
5,442307
5,442304
5,442301
5,442203
5,442102
5,442305
5,442001
5,442104
5,442110
5,442105
5,442006
5,442103
5,442005
5,442111
5,442003
5,444110
5,444507
5,444505
5,444504
5,444105
5,444512
5,445206
5,445103
5,445106
5,445105
5,445110
5,445109
5,445101
5,445001
5,445202
5,445201
5,445210
5,445208
5,445203
5,445301
5,445305
5,445306
5,445401
5,445323
5,445302
5,445308
5,445205
5,445215
5,445230
5,445204
5,445303
5,445102
5,445209
5,445216
5,445213
5,445402
5,445207
5,445211
5,445304
5,445307
5,445309
5,445319
