parent_code,parent_name,domain_code,domain_name,parent_question_count,domain_question_count,combined_question_count,background,interest,academic_strength,skill_confidence,exposure,work_preference,readiness,old_active_dimensions,status
FINANCE_ACCT,Finance & Accounting,FINANCIAL_PLANNING,Financial Planning,5,7,12,2,2,2,1,1,2,2,,GOOD
FINANCE_ACCT,Finance & Accounting,INSURANCE,Insurance,5,7,12,2,2,2,1,1,2,2,,GOOD
FINANCE_ACCT,Finance & Accounting,INVESTMENT_MANAGEMENT,Investment Management,5,7,12,2,2,2,1,1,2,2,,GOOD
FINANCE_ACCT,Finance & Accounting,TAXATION,Taxation,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,CIVIL_SERVICES,Civil Services,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,DEFENSE_SERVICES,Defense Services,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,GOVT_BANKING,Government Banking,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,PUBLIC_ADMINISTRATION,Public Administration,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,PUBLIC_SECTOR_UNITS,Public Sector Units,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,RAILWAY_JOBS,Railway Jobs,5,7,12,2,2,2,1,1,2,2,,GOOD
GOVT_JOBS,Government & Civil Services,STATE_GOVT_SERVICES,State Government Services,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,CRIMINAL_JUSTICE,Criminal Justice,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,EMERGENCY_MANAGEMENT,Emergency Management,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,FIRE_SAFETY,Fire Safety,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,FORENSIC_SCIENCE,Forensic Science,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,LAW,Law,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,LEGAL_SERVICES,Legal Services,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,POLICE_SERVICES,Police Services,5,7,12,2,2,2,1,1,2,2,,GOOD
LAW_PUBLIC,Law Safety & Public Services,PUBLIC_SAFETY,Public Safety,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,AUTOMOBILE_MANUFACTURING,Automobile Manufacturing,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,FOOD_PROCESSING,Food Processing,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,INDUSTRIAL_ENGINEERING,Industrial Engineering,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,MAINTENANCE_TECH,Maintenance Technology,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,MANUFACTURING_TECH,Manufacturing Technology,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,PRODUCTION_MANAGEMENT,Production Management,5,7,12,2,2,2,1,1,2,2,,GOOD
MANUF_PROD,Manufacturing & Production,QUALITY_CONTROL,Quality Control,5,7,12,2,2,2,1,1,2,2,,GOOD
