parent_code,parent_name,domain_code,domain_name,parent_question_count,domain_question_count,combined_question_count,interest,aptitude,personality,work_style,status
GOVT_JOBS,Government & Civil Services,GOVT_BANKING,Government Banking,12,12,12,3,3,3,3,GOOD
GOVT_JOBS,Government & Civil Services,PUBLIC_ADMINISTRATION,Public Administration,12,12,12,3,3,3,3,GOOD
GOVT_JOBS,Government & Civil Services,PUBLIC_SECTOR_UNITS,Public Sector Units,12,12,12,3,3,3,3,GOOD
GOVT_JOBS,Government & Civil Services,RAILWAY_JOBS,Railway Jobs,12,12,12,3,3,3,3,GOOD
GOVT_JOBS,Government & Civil Services,state_govt_services,State Government Services,12,18,18,7,5,3,3,TOO_HIGH
LAW_PUBLIC,Law Safety & Public Services,CRIMINAL_JUSTICE,Criminal Justice,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,EMERGENCY_MANAGEMENT,Emergency Management,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,FIRE_SAFETY,Fire Safety,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,FORENSIC_SCIENCE,Forensic Science,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,LAW,Law,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,LEGAL_SERVICES,Legal Services,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,POLICE_SERVICES,Police Services,12,12,12,3,3,3,3,GOOD
LAW_PUBLIC,Law Safety & Public Services,PUBLIC_SAFETY,Public Safety,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,AUTOMOBILE_MANUFACTURING,Automobile Manufacturing,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,FOOD_PROCESSING,Food Processing,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,INDUSTRIAL_ENGINEERING,Industrial Engineering,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,MAINTENANCE_TECH,Maintenance Technology,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,MANUFACTURING_TECH,Manufacturing Technology,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,PRODUCTION_MANAGEMENT,Production Management,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,QUALITY_CONTROL,Quality Control,12,12,12,3,3,3,3,GOOD
MANUF_PROD,Manufacturing & Production,TEXTILE_MANUFACTURING,Textile Manufacturing,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,ADVERTISING,Advertising,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,BRAND_MANAGEMENT,Brand Management,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,digital_marketing,Digital Marketing,12,18,18,8,3,4,3,TOO_HIGH
MARKETING_SALES,Marketing & Sales,E_COMMERCE,E-Commerce,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,MARKET_RESEARCH,Market Research,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,PUBLIC_RELATIONS,Public Relations,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,SALES,Sales,12,12,12,3,3,3,3,GOOD
MARKETING_SALES,Marketing & Sales,SOCIAL_MEDIA_MARKETING,Social Media Marketing,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,BROADCASTING,Broadcasting,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,COMMUNICATIONS,Communications,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,CONTENT_WRITING,Content Writing,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,EDITING_PUBLISHING,Editing & Publishing,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,FILM_VIDEO_PRODUCTION,Film & Video Production,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,JOURNALISM,Journalism,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,MEDIA_PRODUCTION,Media Production,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,MEDIA_RELATIONS,Media Relations,12,12,12,3,3,3,3,GOOD
MEDIA_COMM,Media Communication & Content,PHOTOGRAPHY,Photography,12,12,12,3,3,3,3,GOOD
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,biotech,Biotechnology,12,25,25,9,7,4,5,TOO_HIGH
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,dentistry,Dentistry,12,15,15,5,3,4,3,TOO_HIGH
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,DOCTOR_MEDICINE,Doctor & Medicine,12,12,12,3,3,3,3,GOOD
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,HEALTHCARE_ADMIN,Healthcare Administration,12,12,12,3,3,3,3,GOOD
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,MEDICAL_RESEARCH,Medical Research,12,12,12,3,3,3,3,GOOD
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,nursing,Nursing,12,14,14,4,3,4,3,TOO_HIGH
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,pharmacy,Pharmacy,12,16,16,6,4,3,3,TOO_HIGH
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,physiotherapy,Physiotherapy,12,15,15,5,3,4,3,TOO_HIGH
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,mental_health,Psychology & Mental Health,12,18,18,9,3,3,3,TOO_HIGH
MEDICAL_HEALTH,Medical Healthcare & Life Sciences,PUBLIC_HEALTH,Public Health,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,AEROSPACE_SPACE,Aerospace & Space Science,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,AI_ML,AI & Machine Learning,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,CYBER_SECURITY,Cyber Security,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,DATA_SCIENCE,Data Science,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,ELECTRICAL_ENG,Electrical Engineering,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,ENV_SCIENCE,Environmental Science,12,12,12,3,3,3,3,GOOD
